Puntos: FINA 2022,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
icación,,,,Tiempo,Pts
1. E.M. El Olivar 1,,E.M. El Olivar,,2:32.32,198
"LOPEZ VELEZ, Marcos 11",,"36.07 SANCHO GRAUS, Bruno 11",,,38.97
"ANGUAS FELIZ, Aquiles 11",,"38.85 BELTRAN VIEJO, Arturo 11",,,38.43
2. C.N. Helios 1,,C.N. Helios,,2:34.06,192
"RODRIGUEZ ARTIEDA, Marcelo 11",,"35.38 LAFUENTE GARCIA, Victor 11",,,42.47
"POLO MARTINEZ, Nicolas 11",,"41.31 MARCO LOPEZ, Leo 11",,,34.90
3. E.M. El Olivar 2,,E.M. El Olivar,,3:04.42,112
"ALAEZ PEREZ, Hugo 12",,"41.70 TATARU, Adrian Stefan 11",,,44.72
"ASIN GARRIDO, Damian 12",,"51.78 BELTRAN VIEJO, Alonso 12",,,46.22
4. Stadium Venecia 1,,Stadium Venecia,,3:05.00,111
"SERRABLO HUESO, Diego 11",,"39.16 LEGORBURO HERNANDEZ, Adrian12",,,47.66
"CUEZVA JORDAN, Diego 12",,"57.87 MODREGO MARQUETA, Alejandro 11",,,40.31
5. C.N. Helios 2,,C.N. Helios,,3:21.73,85
"BIELSA BUENO, Sahiel 12",,"48.23 TELLO GRACIA, Izan 12",,,51.02
"GARCIA DE LA SERNA, Alejandro 11",,"48.79 ALCALDE MARTINEZ, Martin 11",,,53.69
6. H2ogo C.N. 1,,H2ogo C.N.,,3:30.06,75
"ANTONENKO ANTONENKO, Yehor11",,"41.16 NAVARRO PARDOS, Francisco 11",,,52.88
"ARREGUI COMPES, Alberto 12",,"47.31 QUINTANILLA CARBAJO, Amaro 11",,,1:08.71
7. E.M. El Olivar 4,,E.M. El Olivar,,3:31.34,74
"FANDOS MARCO, Carlos 11",,"1:06.16 BENITEZ CABEZUDO, Hernan 12",,,50.00
"MONEDERO OCEJO, Daniel 12",,"43.81 ELIPE VARGAS, Ruben 12",,,51.37
8. C.N. Helios 3,,C.N. Helios,,3:42.22,64
"PELEGRIN RUIZ, Raul 11",,"49.41 JIMENEZ VICO, Pedro 11",,,57.22
"ROMERO SANTOS, Kilian 11",,"55.28 RUBIO SANCHEZ, Bruno 12",,,1:00.31
9. E.M. El Olivar 5,,E.M. El Olivar,,3:58.76,51
"MARTINEZ GOMEZ, Anibal 12",,"56.00 ECHEVARRIA JIMENEZ, Nacho 12",,,1:08.69
"VAZQUEZ BARCENILLA, Nicolas 12",,"1:00.13 MOLINA GALIANO, Jorge 12",,,53.94
