Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Prueba,M_F,Fecha,Piscina,Competicion,Lugar,Edad,Temporada,Time_stamp
1,"LOPEZ HERNANDEZ, Marcos",12,C.N. Iz Cuarte,1:23.23,195,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:23.230
2,"LEGORBURO HERNANDEZ, Adrian",12,Stadium Venecia,1:26.34,175,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:26.340
3,"ALAEZ PEREZ, Hugo",12,E.M. El Olivar,1:29.63,156,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:29.630
4,"ASIN GARRIDO, Damian",12,E.M. El Olivar,1:32.07,144,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:32.070
5,"TELLO GRACIA, Izan",12,C.N. Helios,1:32.58,142,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:32.580
6,"BELTRAN VIEJO, Alonso",12,E.M. El Olivar,1:32.82,141,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:32.820
7,"MONEDERO OCEJO, Daniel",12,E.M. El Olivar,1:33.10,139,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:33.100
8,"ARREGUI COMPES, Alberto",12,H2ogo C.N.,1:33.28,139,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:33.280
9,"BEAMONTE MARTIN, Lucas",12,P. San Agustin,1:37.39,122,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:37.390
10,"BIELSA BUENO, Sahiel",12,C.N. Helios,1:39.42,114,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:39.420
11,"BENITEZ CABEZUDO, Hernan",12,E.M. El Olivar,1:39.91,113,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:39.910
12,"SANCHEZ PARACHE, Manuel",12,Stadium Casablanca,1:40.51,111,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:40.510
13,"ECHEVARRIA JIMENEZ, Nacho",12,E.M. El Olivar,1:40.92,109,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:40.920
14,"MANERO DAMAS, Enzo",12,C.N. Helios,1:43.76,101,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:43.760
15,"ESCUDER ALFONSO, Lucas",12,Stadium Casablanca,1:45.15,97,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:45.150
16,"TOMAS ARNAL, Dario",12,E.M. El Olivar,1:47.64,90,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:47.640
17,"ELIPE VARGAS, Ruben",12,E.M. El Olivar,1:49.05,87,100m Espalda,M,2023-03-26,25m,"Benjamín, jornada 5",E.M. El Olivar,11,2022-2023,1900-01-01 00:01:49.050
