"RECORD ABSOLUTO
2",":00.18
DOMINGUEZ CALO","NGE, LUIS","ESA","KAZAN (RUS)"
"Puntos: FINA 2022","","","",""
"Clasificación
AN","","Tiempo","Pts","50m"
"1. MARCO LOPEZ, Leo
11","C.N. Helios","2:57.92","","39.45"
"2. LOPEZ VELEZ, Marcos
11","E.M. El Olivar","3:02.28","","39.63"
"3. RODRIGUEZ ARTIEDA, M.11","C.N. Helios","3:05.72","","40.10"
"4. SERRABLO HUESO, Diego11","Stadium Venecia","3:07.12","","41.88"
"5. LACASTA ABARCA, Lucas11","C.N. Sabiñanigo","3:07.76","","38.70"
"6. MODREGO MARQUETA, A.11","Stadium Venecia","3:10.80","","45.82"
"7. BESCOS RODRIGUEZ, Jesus","E.M. El Olivar","3:19.75","","44.19"
"8. TATARU, Adrian Stefan
11","E.M. El Olivar","3:20.74","","50.20"
"9. SANCHO GRAUS, Bruno
11","E.M. El Olivar","3:22.48","","43.80"
"10. BELTRAN VIEJO, Arturo
11","E.M. El Olivar","3:24.07","","49.70"
"11. FANDOS MARCO, Carlos 11","E.M. El Olivar","3:25.09","","50.41"
"12. MARTINEZ ANTUNEZ, Roman","Stadium Venecia","3:27.31","","52.63"
"13. ANGUAS FELIZ, Aquiles
11","E.M. El Olivar","3:32.45","","49.11"
"14. ALCALDE MARTINEZ, Martin11","C.N. Helios","3:42.26","","53.48"
"15. POLO MARTINEZ, Nicolas11","C.N. Helios","3:45.75","","55.76"
"16. BORROY SANCHEZ, Martin11","Stadium Casablanca","3:49.53","","54.69"
"17. NAVARRO PARDOS, F.
11","H2ogo C.N.","3:58.29","","1:02.57"
"18. GARCIA DE LA SERNA, A. 11","C.N. Helios","3:58.53","","58.97"
"19. BARCELONA PERALES, B.11","E.M. El Olivar","4:12.59","","59.41"
"20.
JIMENEZ VICO, Pedro
11","C.N. Helios","4:39.20","","1:16.45"
"21. QUINTANILLA CARBAJO, A.11","H2ogo C.N.","4:46.56","","1:16.25"
"Baja enf. LANUZA NUÑEZ, Imanol
11","C.N. Sabiñanigo","","",""
"Baja enf. FABRE GARCIA, Guillermo11","E.M. El Olivar","","",""
"Baja enf. BEAMONTE MARTIN, Diego11","P. San Agustin","","",""
