0,1,2,3,4,5,6,7
21/01/,2023,,,,,,Resultados
Puntos: FIN,A 2022,,,,,,
Clasificación,,,,,,Tiempo,Pts
1.,E.M. El Olivar 1,,E.M.,El Olivar,,3:42.15,72
2.,C.N. Helios 1,,C.N.,Helios,,3:47.89,66
3.,Stadium Venecia 3,,Stadi,um Venecia,,3:55.54,60
4.,E.M. El Olivar 4,,E.M.,El Olivar,,4:00.60,56
5.,E.M. El Olivar 2,,E.M.,El Olivar,,4:02.53,55
6.,Stadium Venecia 1,,Stadi,um Venecia,,4:02.91,55
7.,Stadium Casablanca 1,,Stadi,um Casablanca,,4:16.42,46
8.,H2ogo C.N. 1,,H2og,o C.N.,,4:21.10,44
9.,E.M. El Olivar 5,,E.M.,El Olivar,,4:25.62,42
10.,P. San Agustin 1,,P. Sa,n Agustin,,4:40.66,35
11.,Stadium Venecia 2,,Stadi,um Venecia,,4:56.78,30
12.,Stadium Venecia 4,,Stadi,um Venecia,,5:13.75,25
Baja enf.,E.M. El Olivar 3,,E.M.,El Olivar,,,
